SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED,,Start,End
975,Pershing,WB,Ashland,Damen,0.5,W,,-87.66551,41.82327531,-87.67507424,41.82324972,-1,10/15/16 11:50 PM,,"-87.66551, 41.82327531","41.82327531, -87.67507424"
1133,Cicero,SB,Cermak,31st,1.000915218,S,Outside City Limits,-87.74443372,41.85124519,-87.74393181,41.8367474,31,10/15/16 11:50 PM,,"-87.7444337191, 41.8512451897","41.8512451897, -87.7439318058"
1260,Halsted,SB,Division,Chicago,0.5,N,,-87.648284,41.903636,-87.647935,41.896397,-1,10/15/16 11:50 PM,,"-87.648284, 41.903636","41.903636, -87.647935"
1292,State,NB,Roosevelt,Congress,0.56,S,,-87.627318,41.867413,-87.627518,41.875639,23,10/15/16 11:50 PM,,"-87.627318, 41.867413","41.867413, -87.627518"
1297,State,SB,Chicago,Wacker,0.68,N,,-87.628298,41.896677,-87.628076,41.886813,10,10/15/16 11:50 PM,,"-87.628298, 41.896677","41.896677, -87.628076"
1263,Halsted,SB,Fullerton,Armitage,0.5,N,,-87.64895,41.925454,-87.648698,41.91818,13,10/15/16 11:50 PM,,"-87.64895, 41.925454","41.925454, -87.648698"
1295,State,SB,Wacker,Congress,0.77,N,,-87.628076,41.886813,-87.627718,41.875639,14,10/15/16 11:50 PM,,"-87.628076, 41.886813","41.886813, -87.627718"
1307,Clark,SB,Harrison,Roosevelt,0.5,S,,-87.630774,41.874521,-87.630536,41.867374,-1,10/15/16 11:50 PM,,"-87.630774, 41.874521","41.874521, -87.630536"
1134,Cicero,SB,Roosevelt,Cermak,1.016147694,S,Outside City Limits,-87.7449852,41.86596274,-87.74443372,41.85124519,14,10/15/16 11:50 PM,,"-87.7449852043, 41.8659627382","41.8659627382, -87.7444337191"
1183,Sheridan,NB,Devon,Pratt,0.519240794,N,,-87.66017285,41.99820756,-87.66073575,42.00553898,25,10/15/16 11:50 PM,,"-87.6601728465, 41.9982075605","41.9982075605, -87.6607357537"
1211,Halsted,NB,51st,47th,0.5,S,,-87.645156,41.801585,-87.645349,41.808864,27,10/15/16 11:50 PM,,"-87.645156, 41.801585","41.801585, -87.645349"
1192,Dr Martin L King Jr,NB,24th,Cermak,0.254644034,S,,-87.61815866,41.84934828,-87.619411,41.85300071,22,10/15/16 11:50 PM,,"-87.6181586591, 41.8493482767","41.8493482767, -87.619411"
1259,Halsted,SB,Chicago,Grand,0.35,N,,-87.647935,41.896397,-87.647807,41.891185,-1,10/15/16 11:50 PM,,"-87.647935, 41.896397","41.896397, -87.647807"
1181,57th,WB,Lake Shore Dr,Stony Island,0.3745,E,,-87.58029961,41.79255503,-87.58388758,41.79278008,-1,10/15/16 11:50 PM,,"-87.5802996067, 41.7925550314","41.7925550314, -87.5838875815"
1306,Clark,NB,Roosevelt,Harrison,0.5,S,,-87.630336,41.867374,-87.630574,41.874521,-1,10/15/16 11:50 PM,,"-87.630336, 41.867374","41.867374, -87.630574"
